"烏龍茶","Oolong tea","ㄨ ㄌㄨㄥˊ ㄔㄚˊ","wūlóngchá","<img src=""烏-stroke.png"" /><img src=""龍-stroke.png"" /><img src=""茶-stroke.png"" />","烏","ㄨ","wū","龍","ㄌㄨㄥˊ","lóng","茶","ㄔㄚˊ","chá",""
"龍","Dragon","ㄌㄨㄥˊ","lóng","<img src=""龍-stroke.png"" />","","","","","","","","","",""
"臺灣","Taiwan","ㄊㄞˊ ㄨㄢ","Táiwān","<img src=""臺-stroke.png"" /><img src=""灣-stroke.png"" />","臺","ㄊㄞˊ","tái","灣","ㄨㄢ","wān","","","",""
"接","To pick someone up","ㄐㄧㄝ","jiē","<img src=""接-stroke.png"" />","","","","","","","","","",""
